id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2026-01-02;289.25;289.25;289.25;289.25
NE;NORDESTE;2026-01-02;163.88;162.82;164.14;166.44
S;SUL;2026-01-02;163.88;162.82;164.14;166.44
SE;SUDESTE;2026-01-02;163.88;162.82;164.14;166.44
N;NORTE;2026-01-09;289.25;289.25;289.25;289.25
NE;NORDESTE;2026-01-09;119.1;117.98;119.65;120.16
S;SUL;2026-01-09;119.1;117.98;119.65;120.16
SE;SUDESTE;2026-01-09;119.1;117.98;119.65;120.16
N;NORTE;2026-01-16;296.18;293.89;296.38;300.56
NE;NORDESTE;2026-01-16;295.73;293.89;295.36;300.56
S;SUL;2026-01-16;296.18;293.89;296.38;300.56
SE;SUDESTE;2026-01-16;296.18;293.89;296.38;300.56
N;NORTE;2026-01-23;323.15;320.33;324.88;324.88
NE;NORDESTE;2026-01-23;323.15;320.33;324.88;324.88
S;SUL;2026-01-23;323.8;320.33;325.49;327.02
SE;SUDESTE;2026-01-23;323.8;320.33;325.49;327.02
N;NORTE;2026-01-30;289.25;289.25;289.25;289.25
NE;NORDESTE;2026-01-30;177.28;177.03;177.03;178.45
S;SUL;2026-01-30;309.74;297.48;316.79;318.49
SE;SUDESTE;2026-01-30;308.9;297.48;314.89;318.49
N;NORTE;2026-02-06;322.62;319.34;323.89;326.5
NE;NORDESTE;2026-02-06;322.62;319.34;323.89;326.5
S;SUL;2026-02-06;322.62;319.34;323.89;326.5
SE;SUDESTE;2026-02-06;322.62;319.34;323.89;326.5
N;NORTE;2026-02-13;382.05;378.28;383.68;386.06
NE;NORDESTE;2026-02-13;382.05;378.28;383.68;386.06
S;SUL;2026-02-13;382.93;378.28;383.68;391.01
SE;SUDESTE;2026-02-13;382.93;378.28;383.68;391.01
N;NORTE;2026-02-20;309.25;306.33;308.16;321.48
NE;NORDESTE;2026-02-20;309.25;306.33;308.16;321.48
S;SUL;2026-02-20;325.9;306.33;341.73;341.57
SE;SUDESTE;2026-02-20;309.25;306.33;308.16;321.48
N;NORTE;2026-02-27;316.18;311.62;317.03;323.81
NE;NORDESTE;2026-02-27;316.18;311.62;317.03;323.81
S;SUL;2026-02-27;316.18;311.62;317.03;323.81
SE;SUDESTE;2026-02-27;316.18;311.62;317.03;323.81
N;NORTE;2026-03-06;306.43;305.48;305.48;310.78
NE;NORDESTE;2026-03-06;306.43;305.48;305.48;310.78
S;SUL;2026-03-06;489.76;464.08;505.57;505.57
SE;SUDESTE;2026-03-06;477.01;464.08;476.62;505.57
